id,street,unit ,city,state,zipcode,latitude,longitude,url_address,log_id
3, 12322 W Sunset Hwy,,Airway Heights,WA,99001,47.64301154,-117.5816126,https://www.google.com/maps/search/%2012322%20W%20Sunset%20Hwy%2C%20Airway%20Heights%2C%20WA%2099001,372
14,12 E 5th Ave,,Spokane,WA,99202,47.65137243,-117.4109823,https://www.google.com/maps/search/12%20E%205th%20Ave%2C%20Spokane%2C%20WA%2099202,373
15,19 W Pacific Ave,,Spokane,WA,99201,47.655495,-117.412229,https://www.google.com/maps/search/19%20W%20Pacific%20Ave%2C%20Spokane%2C%20WA%2099201,374
8,25 E North Foothills Dr,,Spokane,WA,99207,47.68279492,-117.4107686,https://www.google.com/maps/search/25%20E%20North%20Foothills%20Dr%2C%20Spokane%2C%20WA%2099207,375
17,25 W 5th Ave,,Spokane,WA,99204,47.65138468,-117.4118543,https://www.google.com/maps/search/25%20W%205th%20Ave%2C%20Spokane%2C%20WA%2099204,376
42,32 W Pacific Ave,,Spokane,WA,99201,47.65565819,-117.4125497,https://www.google.com/maps/search/32%20W%20Pacific%20Ave%2C%20Spokane%2C%20WA%2099201,377
50,33 Irving Pl,Fl 5,New York,NY,10003,40.7351053,-73.9881133,https://www.google.com/maps/search/33%20Irving%20Pl%2C%20New%20York%2C%20NY%2010003,378
55,35 W Main Ave,,Spokane,WA,99201,47.65900045,-117.4116063,https://www.google.com/maps/search/35%20W%20Main%20Ave%2C%20Spokane%2C%20WA%2099201,379
69,55 W Mission Ave,,Spokane,WA,99201,47.6716522,-117.4123993,https://www.google.com/maps/search/55%20W%20Mission%20Ave%2C%20Spokane%2C%20WA%2099201,380
87,101 E Hartson Ave,,Spokane,WA,99202,47.650003,-117.409391,https://www.google.com/maps/search/101%20E%20Hartson%20Ave%2C%20Spokane%2C%20WA%2099202,381
64,101 W 8th Ave,,Spokane,WA,99204,47.6483761,-117.4117102,https://www.google.com/maps/search/101%20W%208th%20Ave%2C%20Spokane%2C%20WA%2099204,382
9,104 W 9th St,Suite 205,Vancouver,WA,98660,45.6281543,-122.672386,https://www.google.com/maps/search/104%20W%209th%20St%2C%20Vancouver%2C%20WA%2098660,383
2,110 E 4th Ave,,Spokane,WA,99202,47.66841473,-117.423495,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,384
35,111 S Highland St,PMB 461,Memphis,TN,38111,35.1289237,-89.9457417,https://www.google.com/maps/search/111%20S%20Highland%20St%2C%20Memphis%2C%20TN%2038111,385
108,119 N Lefevre St,,Medical Lake,WA,99022,47.5782163,-117.6826671,https://www.google.com/maps/search/119%20N%20Lefevre%20St%2C%20Medical%20Lake%2C%20WA%2099022,386
116,124 E Pacific Ave,,Spokane,WA,99202,47.65535991,-117.40881874,https://www.google.com/maps/search/124%20E%20Pacific%20Ave%2C%20Spokane%2C%20WA%2099202,387
68,127 E Nora Ave,,Spokane,WA,99207,47.67398127,-117.40902,https://www.google.com/maps/search/127%20E%20Nora%20Ave%2C%20Spokane%2C%20WA%2099207,388
62,130 S Arthur St,,Spokane,WA,99202,47.65559915,-117.3958784,https://www.google.com/maps/search/130%20S%20Arthur%20St%2C%20Spokane%2C%20WA%2099202,389
32,142 Berkeley St,,Boston,MA,2116,42.3453356,-71.0700294,https://www.google.com/maps/search/142%20Berkeley%20St%2C%20Boston%2C%20MA%202116,390
95,170 S Madison St,,Spokane,WA,99201,47.6551276,-117.4281654,https://www.google.com/maps/search/170%20S%20Madison%20St%2C%20Spokane%2C%20WA%2099201,391
84,200 N Bernard St,,Spokane,WA,99201,47.659735,-117.415877,https://www.google.com/maps/search/200%20N%20Bernard%20St%2C%20Spokane%2C%20WA%2099201,392
11,203 E 3rd Ave,,Spokane,WA,99202,47.653628,-117.4079884,https://www.google.com/maps/search/203%20E%203rd%20Ave%2C%20Spokane%2C%20WA%2099202,393
4,204 4th St ,,Cheney,WA,99004,47.65338665,-117.4463075,https://www.google.com/maps/search/204%204th%20St%20%2C%20Cheney%2C%20WA%2099004,394
67,204 E Indiana Ave,,Spokane,WA,99207,47.67464855,-117.4076447,https://www.google.com/maps/search/204%20E%20Indiana%20Ave%2C%20Spokane%2C%20WA%2099207,395
12,207 S Washington St,,Medical Lake,WA,99022,47.57159635,-117.6794265,https://www.google.com/maps/search/207%20S%20Washington%20St%2C%20Medical%20Lake%2C%20WA%2099022,396
39,211 Fir Ave,,Deer Park,WA,99006,47.95631007,-117.4823099,https://www.google.com/maps/search/211%20Fir%20Ave%2C%20Deer%20Park%2C%20WA%2099006,397
118,211 N Lefevre St,,Medical Lake,WA,99022,47.57399625,-117.6828001,https://www.google.com/maps/search/211%20N%20Lefevre%20St%2C%20Medical%20Lake%2C%20WA%2099022,398
117,212 W 2nd Ave,,Spokane,WA,99201,47.65461689,-117.4152697,https://www.google.com/maps/search/212%20W%202nd%20Ave%2C%20Spokane%2C%20WA%2099201,399
66,222 E Indiana Ave,,Spokane,WA,99207,47.674916,-117.4075842,https://www.google.com/maps/search/222%20E%20Indiana%20Ave%2C%20Spokane%2C%20WA%2099207,400
88,307 E Sprague Ave,,Spokane,WA,99202,47.65736531,-117.4064478,https://www.google.com/maps/search/307%20E%20Sprague%20Ave%2C%20Spokane%2C%20WA%2099202,401
75,310 S Spruce St,,Spokane,WA,99201,47.65341932,-117.4463069,https://www.google.com/maps/search/310%20S%20Spruce%20St%2C%20Spokane%2C%20WA%2099201,402
26,316 W Boone Ave,,Spokane,WA,99201,47.66816977,-117.4162285,https://www.google.com/maps/search/316%20W%20Boone%20Ave%2C%20Spokane%2C%20WA%2099201,403
34,318 S Cedar St,,Spokane,WA,99201,47.652781,-117.432566,https://www.google.com/maps/search/318%20S%20Cedar%20St%2C%20Spokane%2C%20WA%2099201,404
90,320 E 2nd Ave,,Spokane,WA,99202,47.65437735,-117.4055966,https://www.google.com/maps/search/320%20E%202nd%20Ave%2C%20Spokane%2C%20WA%2099202,405
97,321 W Boone Ave,,Spokane,WA,99201,47.66800563,-117.4162744,https://www.google.com/maps/search/321%20W%20Boone%20Ave%2C%20Spokane%2C%20WA%2099201,406
73,400 Fairview Ave N,Suite 800,Seattle,WA,98109,47.6225908,-122.3340855,https://www.google.com/maps/search/400%20Fairview%20Ave%20N%2C%20Seattle%2C%20WA%2098109,407
