id,name,description,open_hours,org_type,status,parent_org_id,contact_id,log_id,location_id
83,2nd Harvest,"Fighting hunger, feeding hope: Second Harvest brings community resources together to feed people in need through empowerment, education and partnerships.
We believe that everyone has the right to health, and nutritious food is a key ingredient in the recipe for a healthy life. We envision a world in which every person – regardless of age, race, ability, income or status – has access to the food they need to live a life full of the activities and people they love. That’s why Second Harvest works hard to get food onto the tables of families, kids and seniors facing hunger in our community.",,Non-Profit,Active,,1,1,112
1,Aging & Long Term Care of Eastern Washington (ALTCEW),"Aging & Long Term Care of Eastern Washington (ALTCEW) is a social service agency that helps older adults and adults living with disabilities discover the resources needed to plan, prepare for and support living independently. This agency provides services such as case management for people needing a caregiver, information and referrals, answers to questions about Medicare and Medicaid, and more. ALTCEW is the local Area Agency on Aging for Ferry, Stevens, Pend Oreille, Spokane, and Whitman Counties.",,Government,Active,,2,2,2
2,Airway Heights Baptist Church,Local church with a food pantry.,"Monday, Thursday 9am-4pm
Sunday, 9am-6pm",Church,Active,,3,3,3
86,All Saints Lutheran Church,"Mission Statement: We practice the forgiving love of Christ and are prepared for the future. Knowing that all that we have belongs to God, we strive to in-clude all whom we encounter in loving God and serving our neighbor.

Vision Statement: ""People of Christ, living in community, working in partnership, doing the stuff of local ministry""",,Church,Active,,4,4,4
3,American Indian Community Center,"The American Indian Community Center’s mission is to provide comprehensive social and economic development services for all racial groups in our community, to encourage individual and family self-sufficiency, and to protect and preserve the culture and traditions of Indian people.","Monday-Friday
8:30am- 5pm",Community Center,Active,,5,5,5
4,American Society of Cataract and Refractive Surgery (ASCRS),"Globally, over 85 million people suffer from visual impairment, with cataracts being the second leading cause of visual impairment and the primary cause of preventable blindness in the developing world.

We actively support physician education and provide humanitarian cataract surgery both in the United States and abroad. We maximize the benefits of modern ophthalmology, working towards treating thousands of patients in need every year.",,Non-Profit,Active,,6,6,6
5,Audubon Park United Methodist Church,"In the basement of Audubon Park UMC there are three very special ministries that are near and dear to our hearts! The Audubon Park Food Bank, our Tuesday Morning Breakfast, and Bare Necessities Ministries.","Monday-Thursday, 8:30am-2:30pm
Sunday 9am-12pm",Church,Active,,7,7,7
6,Better Living Center,"As a faith-based organization, the Better Living Center exists exclusively for charitable, educational, and health-related activities for the purpose of following Christ's example of service to the community - to nourish the body, mind, and spirit through unconditional love and care for the dignity of all people.","Tuesday, 9am-11:30am & 1pm-3:30pm
Thursday: 9am-12:30pm",Outreach Ministry,Active,44,8,8,8
7,Big Table,"Big Table works on a referral model, not a “hotline” model. We build a network of managers, owners, and employees across the industry and when they see someone in crisis, they submit a personal referral.
This simple referral process both strengthens existing community and provides real accountability, virtually eliminating requests from those trying to take advantage of the system.
We respond directly and personally – seeking to meet an immediate crisis need as quickly as possible with the goal of keeping a family or individual from falling off the ledge.
We partner with the best resource providers in the community when a need can be best met collaboratively. These include doctors, dentists, therapists, auto mechanics, and lawyers.
Where we see lives truly change is when we are able to shift from triage care to investing in longer term coaching and mentoring with a care recipient. Once the crisis has passed we continue to walk alongside individuals – offering accountability and encouragement. Time and time again, care recipients say it is this ongoing relationship that gives them hope and direction.",,Non-Profit,Active,,9,9,10
8,Calvary Baptist Church,"Calvary Baptist Church is the oldest African American Church in the state of Washington, our vision is to spread the Gospel of Jesus Christ throughout the world and bring young people to Christ and to develop Christian Youth Leadership.","Wednesday, 6:30pm-7:30pm
Saturday, 9:00am-9:45pm
Sunday, 10am- 12pm",Church,Active,,10,10,11
