id,name,org_id,location_id,satus,details,open_hours,is_online_only,is_application_only,eligibility,cost_id,contact_id,language_info,log_id,keyword_id
209,Food Finder,83,112,Active,Online resource for finding food pantries near you.,Online only.,checked,,NONE,1,112,No language support,112,1
1,Care Coordination (Health Home),1,2,Active,"Health Home is a program within Aging & Long Term Care that empowers individuals to take charge of their own health care through person-centered health action planning. Care Coordinators work with participants to establish health-related goals, increase their confidence and skills to manage these goals, access health care services, and much more.","By appointment only. Call ""Community Living Connections"" program at 509-960-7281.",,checked,People on Apple Health (not offered if on a Medicare Advantage Plan) who have one chronic condition and are at risk for one or more additional chronic conditions.,2,113,No listed language support,113,2
2,Care Transitions,1,2,Active,"Care Transitions occur when a patient moves from one healthcare setting to another. These transitions can often be dangerous when there are gaps in support. This free evidence-based program will help you during your hospital discharge to ensure you receive the support and quality of care needed during your recovery at home.

A Care Coordinator will work closely with you during this time to help you navigate complicated medical and social service systems, create a plan to determine necessary supports, and reduce the likelihood of hospital readmissions. Coordinators will work with existing services you may already have set up, and actively advocate for your needs!

How the Program Works:
- Client enrolls in the program (at no charge). Call 509-960-7281 to learn more.
- A Care Coordinator will make a home visit and identify client needs.
- The Care Coordinator will make referrals for community-based resources, including Medication Management.
- The clients needs will continue to be reviewed and support will be provided as needed.",By appointment only,,checked,"- 18 years of age or older
- Have a serious chronic health condition
- Recently hospitalized",3,114,No listed language support,114,3
3,Caregiver Support,1,2,Active,"Being an unpaid caregiver to a relative or friend can be isolating, emotionally draining, and physically demanding. The Caregiver Support Program is offered to unpaid caregivers aiding loved ones who are 18 and older. Through this program, you will gain access to free or low-cost support.

Services include:
- Support groups and counseling
- Caregiver training
- Respite care, if you need a break
- Purchasing supplies and/or medical equipment
- Other services necessary to help the unpaid caregiver",Call during regular business hours,,,"Must be acting as a caregiver, helping support a relative, or friend.",4,115,No listed language support,115,4
4,Community Living Connections,1,2,Active,"Community Living Connections is a program within Aging & Long Term Care that can connect you with the right kind of help, when and where you need it.

We help older adults, adults living with disabilities, and caregivers access a wide range of public and private resources and provide the long-term care services and supports necessary for them to remain in the community for as long as possible.

Our goal is to promote well-being, independence, dignity, and choice for all individuals we serve. Please contact us at 509-960-7281 for objective, confidential information about community resources and service options to meet your individual needs.",By appointment only,,,NONE,5,116,No listed language support,116,5
5,Family Raising Family: Kinship Caregiver,1,2,Active,"What is the Kinship Caregiver Support Program?
The Kinship Caregiver Support Program helps family members who are raising a relative’s child. This program helps caregivers locate resources, navigate governmental systems, and access funding for the child. Financial help can also be provided to those who are income-eligible to meet a variety of short-term needs. For more information, please check out the links at the bottom of this page.

What is the Kinship Navigator Program?
The Kinship Navigator program serves as a one-stop shop for kinship caregivers and is especially helpful for those who are already financially stretched. The role of the Kinship Navigator is to connect kinship caregivers to community resources and information, help navigate governmental systems, provide support, avoid crisis, and establish greater stability needed to keep the children out of foster care. Almost all kinship care families qualify for some services or benefits, but many are unaware of this. Kinship Navigators will not only help you discover these services, but also explain how to apply. For more information, please check out the links at the bottom of this page.",Call during regular business hours,,,Must be a Kinship Caregiver. (a grandparent or other family member raising a relative’s child),6,117,No listed language support,117,6
6,Medicare Assistance,1,2,Active,"The Statewide Health Insurance Benefits Advisors (SHIBA) can help you understand your Medicare rights and options. Our well-trained volunteers counsel people of all ages, adults living with disabilities, and people getting ready to retire about their Medicare choices and options:
- Original Medicare
- Prescription drugs
- Low-income programs to help pay for Medicare
- Medigap (Medicare Supplement) plans
- Medicare Advantage plans
- Medicare fraud and abuse
- Long-term care options
- Issues with Medicare fraud
We answer your Medicare questions, make referrals, and help evaluate and compare health insurance policies so you can make an informed decision to find the best possible coverage that fits within your budget and meets your needs.",Call during regular business hours,,,NONE,7,118,No listed language support,118,7
7,Medication Managment,1,2,Active,"This award winning Advanced Medication Management Program helps clients find solutions to address complex health conditions such as asthma, diabetes, COPD, and hypertension. Trained coordinators and pharmacists work together to create safe and effective medication management plans catered to meet each individuals needs. At this time, we are working with patients over the age of 50 with chronic health conditions and who take multiple prescriptions.

Our purpose is to ensure our clients are using medications in the most safe and effective way!

This service works in tandem with physicians and other health care team providers. Our Advanced Medication Care Coordinator (AMCC) is a specialized role designed to support our clients with targeted care coordination around medications. We help clients become knowledgeable about prescriptions, more skilled and accountable in managing their health, and reduce anxiety or uncertainness.

How our Program Works:
1. Client enrolls in the program (at no charge). Call 509-960-7281 to learn more.
2. AMCC visits with the client and identifies prescriptions and challenges.
3. Client meets with a clinical pharmacist and AMCC.
4. The pharmacist reviews the client’s health status, makes any necessary medication recommendations, and shares this with the client’s health care provider.
5. AMCC follows up with the client and pharmacist for continued consult until the client is comfortable that the medications they are taking are safe and effective.",Call during regular business hours,,,"- 50 years or older
- Multiple known chronic conditions
- Multiple prescriptions
- Needs help understanding medications
- Little to no support in medication management
- Agrees to participate in the program",8,119,No listed language support,119,8
8,AHBC Food Distribution Center,2,3,Active,"In support of our local community, our affiliation with 2nd Harvest Inland Northwest enables us to minister to those in need of supplemental food products for their families and afford all the opportunity to hear the Gospel plan of salvation. Our Food Distribution occurs twice monthly, on the 1st and 3rd Saturdays of the month from 10am-12pm in the North Parking Lot. On occasion, distribution days may vary. Please see our Church calendar for current dates. We do not deliver boxes, this is a line-up operation served by our faithful volunteers.

If in need of food in between those Saturdays, call their office Monday thru Thursday from 9am-4pm.
","1st and 3rd Saturdays of the month, 10 AM - 12 PM",,,"Must bring picture ID, and proof of current residence within these zipcodes: 99001, 99011, 99013, 99022, 99029, 99224.",9,120,No listed language support,120,9
215,Food Distribution Center,86,4,Active,Food pantry run by the church.,"Wednesdays, 10 AM - 12 PM",,,Unlisted,10,121,No listed language support,121,10
