full_address,street,unit,city,state,zipcode,short_address,URL-Address,Manual Entry,latitude,longitude,id,Orgs Link,Org Names,Org ids,Org Item Pages,Services Link,Service Names,Service ids,Service Item Pages,Last Updated,Last Updated By,Created By,Created Date,Events Link,Event ids,html
" 12322 W Sunset Hwy, Airway Heights, WA 99001", 12322 W Sunset Hwy,,Airway Heights,WA,99001," 12322 W Sunset Hwy, Airway Heights, WA 99001",https://www.google.com/maps/search/%2012322%20W%20Sunset%20Hwy%2C%20Airway%20Heights%2C%20WA%2099001,,47.64301154,-117.58161260,3,"Airway Heights Baptist Church_2,NJP - Spokane_36","Airway Heights Baptist Church, NJP - Spokane","2, 36","https://resourcecenter.softr.app/organization-details?recordId=recSXiB07QpHUuoYm, https://resourcecenter.softr.app/organization-details?recordId=recBb2Rtmdtrmqqzy",AHBC Food Distribution Center - Airway Heights Baptist Church - 8,AHBC Food Distribution Center,8,https://resourcecenter.softr.app/service-details?recordId=recPWD34NvEZCSKWY,1/7/2025 5:41pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3> 12322 W Sunset Hwy, Airway Heights, WA 99001</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recSXiB07QpHUuoYmhttps://resourcecenter.softr.app/organization-details?recordId=recBb2Rtmdtrmqqzy><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recPWD34NvEZCSKWY><span>Service Name</span></a></li></ul>"
"12 E 5th Ave, Spokane, WA 99202",12 E 5th Ave,,Spokane,WA,99202,"12 E 5th Ave, Spokane, WA 99202",https://www.google.com/maps/search/12%20E%205th%20Ave%2C%20Spokane%2C%20WA%2099202,,47.65137243,-117.41098230,14,Catholic Charities Eastern Washington_11,Catholic Charities Eastern Washington,11,https://resourcecenter.softr.app/organization-details?recordId=recwxpDS8AlYshtwv,"Housing Assistance - Catholic Charities Eastern Washington - 36,Immigration Legal Services - Catholic Charities Eastern Washington - 37","Housing Assistance, Immigration Legal Services","36, 37","https://resourcecenter.softr.app/service-details?recordId=recDA3HkdrMeOsAU0, https://resourcecenter.softr.app/service-details?recordId=recf5Rivl9nQKORDw",1/7/2025 5:37pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>12 E 5th Ave, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recwxpDS8AlYshtwv><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recDA3HkdrMeOsAU0https://resourcecenter.softr.app/service-details?recordId=recf5Rivl9nQKORDw><span>Service Name</span></a></li></ul>"
"19 W Pacific Ave, Spokane, WA 99201",19 W Pacific Ave,,Spokane,WA,99201,"19 W Pacific Ave, Spokane, WA 99201",https://www.google.com/maps/search/19%20W%20Pacific%20Ave%2C%20Spokane%2C%20WA%2099201,,47.65549500,-117.41222900,15,,,,,"Integrated Case Management (ICM) - Catholic Charities Eastern Washington - 38,Rapid Rehousing - Catholic Charities Eastern Washington - 86","Integrated Case Management (ICM), Rapid Rehousing","38, 86","https://resourcecenter.softr.app/service-details?recordId=recu486St2hd2nlwf, https://resourcecenter.softr.app/service-details?recordId=recohIbHpaSu8CQ1M",1/7/2025 6:01pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>19 W Pacific Ave, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recu486St2hd2nlwfhttps://resourcecenter.softr.app/service-details?recordId=recohIbHpaSu8CQ1M><span>Service Name</span></a></li></ul>"
"25 E North Foothills Dr, Spokane, WA 99207",25 E North Foothills Dr,,Spokane,WA,99207,"25 E North Foothills Dr, Spokane, WA 99207",https://www.google.com/maps/search/25%20E%20North%20Foothills%20Dr%2C%20Spokane%2C%20WA%2099207,,47.68279492,-117.41076860,8,"Better Living Center_6,Community Health Plan of Washington (CHPW)_106","Better Living Center, Community Health Plan of Washington (CHPW)","6, 106","https://resourcecenter.softr.app/organization-details?recordId=recJ2Fe1vsePv8vba, https://resourcecenter.softr.app/organization-details?recordId=recDVrvhS1leiBzjm","BLC Dental Clinic - Renew Spokane - 18,Food Pantry - Renew Spokane - 19,Peace is an Inside Job - Bible Study - Renew Spokane - 20","BLC Dental Clinic, Food Pantry, Peace is an Inside Job - Bible Study","18, 19, 20","https://resourcecenter.softr.app/service-details?recordId=reczGVFag6rjDuwiH, https://resourcecenter.softr.app/service-details?recordId=rec4vnISX3v5IqwvG, https://resourcecenter.softr.app/service-details?recordId=rec38wmAPFOV50caH",1/7/2025 5:44pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>25 E North Foothills Dr, Spokane, WA 99207</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recJ2Fe1vsePv8vbahttps://resourcecenter.softr.app/organization-details?recordId=recDVrvhS1leiBzjm><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=reczGVFag6rjDuwiHhttps://resourcecenter.softr.app/service-details?recordId=rec4vnISX3v5IqwvGhttps://resourcecenter.softr.app/service-details?recordId=rec38wmAPFOV50caH><span>Service Name</span></a></li></ul>"
"25 W 5th Ave, Spokane, WA 99204",25 W 5th Ave,,Spokane,WA,99204,"25 W 5th Ave, Spokane, WA 99204",https://www.google.com/maps/search/25%20W%205th%20Ave%2C%20Spokane%2C%20WA%2099204,,47.65138468,-117.41185430,17,CAPA / PREPARES_9,CAPA / PREPARES,9,https://resourcecenter.softr.app/organization-details?recordId=recYMBUZsyoPsWhsu,"St. Anne's Children & Family Center - Catholic Charities Eastern Washington - 40,Baby Care 101 - Catholic Charities Eastern Washington - 24,Baby Care Assistance - Catholic Charities Eastern Washington - 25,Case Management - Catholic Charities Eastern Washington - 26,Circle of Security Parenting Classes - Catholic Charities Eastern Washington - 27,Education Support - Catholic Charities Eastern Washington - 28,Essential Items - Catholic Charities Eastern Washington - 29,Music Together (Partnership with Songbird Studio) - Catholic Charities Eastern Washington - 30,Prepared Moms - Catholic Charities Eastern Washington - 31","St. Anne's Children & Family Center, Baby Care 101, Baby Care Assistance, Case Management, Circle of Security Parenting Classes, Education Support, Essential Items, Music Together (Partnership with Songbird Studio), Prepared Moms","40, 24, 25, 26, 27, 28, 29, 30, 31","https://resourcecenter.softr.app/service-details?recordId=recROP1vRdUppjfZi, https://resourcecenter.softr.app/service-details?recordId=rec2IgwFBqRWWOUMo, https://resourcecenter.softr.app/service-details?recordId=rec7JT0gWhqiiTJ49, https://resourcecenter.softr.app/service-details?recordId=recN2d5EP4Ur7su3L, https://resourcecenter.softr.app/service-details?recordId=reciuZbR5TpDqikuy, https://resourcecenter.softr.app/service-details?recordId=recFhCFUNy6kJBT0K, https://resourcecenter.softr.app/service-details?recordId=recd8iZzkVEzaeJwL, https://resourcecenter.softr.app/service-details?recordId=recm2Na6OxccJshNm, https://resourcecenter.softr.app/service-details?recordId=recKYQ4W8bpwF5Icx",1/7/2025 5:48pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>25 W 5th Ave, Spokane, WA 99204</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recYMBUZsyoPsWhsu><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recROP1vRdUppjfZihttps://resourcecenter.softr.app/service-details?recordId=rec2IgwFBqRWWOUMohttps://resourcecenter.softr.app/service-details?recordId=rec7JT0gWhqiiTJ49https://resourcecenter.softr.app/service-details?recordId=recN2d5EP4Ur7su3Lhttps://resourcecenter.softr.app/service-details?recordId=reciuZbR5TpDqikuyhttps://resourcecenter.softr.app/service-details?recordId=recFhCFUNy6kJBT0Khttps://resourcecenter.softr.app/service-details?recordId=recd8iZzkVEzaeJwLhttps://resourcecenter.softr.app/service-details?recordId=recm2Na6OxccJshNmhttps://resourcecenter.softr.app/service-details?recordId=recKYQ4W8bpwF5Icx><span>Service Name</span></a></li></ul>"
"32 W Pacific Ave, Spokane, WA 99201",32 W Pacific Ave,,Spokane,WA,99201,"32 W Pacific Ave, Spokane, WA 99201",https://www.google.com/maps/search/32%20W%20Pacific%20Ave%2C%20Spokane%2C%20WA%2099201,,47.65565819,-117.41254970,42,House of Charity_28,House of Charity,28,https://resourcecenter.softr.app/organization-details?recordId=rec4NwVlRT2wSaYwf,"Daily Services - Catholic Charities Eastern Washington - 87,Men's Sleeping Program - Catholic Charities Eastern Washington - 88,Residential Client Program - Catholic Charities Eastern Washington - 90,Transitional Respite Program - Catholic Charities Eastern Washington - 91","Daily Services, Men's Sleeping Program, Residential Client Program, Transitional Respite Program","87, 88, 90, 91","https://resourcecenter.softr.app/service-details?recordId=reclsRvTTvk128hHX, https://resourcecenter.softr.app/service-details?recordId=recLq9Q9wawOc29V6, https://resourcecenter.softr.app/service-details?recordId=rec1WSFgbGESKSF80, https://resourcecenter.softr.app/service-details?recordId=recKfIhUroM7riVpx",1/7/2025 6:04pm,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>32 W Pacific Ave, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=rec4NwVlRT2wSaYwf><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=reclsRvTTvk128hHXhttps://resourcecenter.softr.app/service-details?recordId=recLq9Q9wawOc29V6https://resourcecenter.softr.app/service-details?recordId=rec1WSFgbGESKSF80https://resourcecenter.softr.app/service-details?recordId=recKfIhUroM7riVpx><span>Service Name</span></a></li></ul>"
"33 Irving Pl, Fl 5, New York, NY 10003",33 Irving Pl,Fl 5,New York,NY,10003,"33 Irving Pl, New York, NY 10003",https://www.google.com/maps/search/33%20Irving%20Pl%2C%20New%20York%2C%20NY%2010003,,40.73510530,-73.98811330,50,Modest Needs_98,Modest Needs,98,https://resourcecenter.softr.app/organization-details?recordId=reccxWg8vbv7OpNnY,Self-Sufficiency Grant - Modest Needs - 243,Self-Sufficiency Grant,243,https://resourcecenter.softr.app/service-details?recordId=rec0bvFesdeoJtc5R,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>33 Irving Pl, Fl 5, New York, NY 10003</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=reccxWg8vbv7OpNnY><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rec0bvFesdeoJtc5R><span>Service Name</span></a></li></ul>"
"35 W Main Ave, Spokane, WA 99201",35 W Main Ave,,Spokane,WA,99201,"35 W Main Ave, Spokane, WA 99201",https://www.google.com/maps/search/35%20W%20Main%20Ave%2C%20Spokane%2C%20WA%2099201,,47.65900045,-117.41160630,55,Northwest Mediation Center (NMC)_89,Northwest Mediation Center (NMC),89,https://resourcecenter.softr.app/organization-details?recordId=recHoRQVvAoj2LGui,Eviction Mediation - Northwest Mediation Center (NMC) - 220,Eviction Mediation,220,https://resourcecenter.softr.app/service-details?recordId=recWu6oFKryFGtgiK,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>35 W Main Ave, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=recHoRQVvAoj2LGui><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recWu6oFKryFGtgiK><span>Service Name</span></a></li></ul>"
"55 W Mission Ave, Spokane, WA 99201",55 W Mission Ave,,Spokane,WA,99201,"55 W Mission Ave, Spokane, WA 99201",https://www.google.com/maps/search/55%20W%20Mission%20Ave%2C%20Spokane%2C%20WA%2099201,,47.67165220,-117.41239930,69,,,,,The Way Out Bridge Housing Center - Salvation Army - 140,The Way Out Bridge Housing Center,140,https://resourcecenter.softr.app/service-details?recordId=recOmkxzi09BTmDlL,12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>55 W Mission Ave, Spokane, WA 99201</h3><h4>Organizations</h4><ul><li><a href=><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=recOmkxzi09BTmDlL><span>Service Name</span></a></li></ul>"
"101 E Hartson Ave, Spokane, WA 99202",101 E Hartson Ave,,Spokane,WA,99202,"101 E Hartson Ave, Spokane, WA 99202",https://www.google.com/maps/search/101%20E%20Hartson%20Ave%2C%20Spokane%2C%20WA%2099202,,47.65000300,-117.40939100,87,St. Margaret's Shelter_63,St. Margaret's Shelter,63,https://resourcecenter.softr.app/organization-details?recordId=reck7nDD7WOB33bfI,"Emergency & Transitional Housing - Catholic Charities Eastern Washington - 161,Family Support - Catholic Charities Eastern Washington - 162,Stabilization Services & Community Partnerships - Catholic Charities Eastern Washington - 163","Emergency & Transitional Housing, Family Support, Stabilization Services & Community Partnerships","161, 162, 163","https://resourcecenter.softr.app/service-details?recordId=rec9K79zEB7aJmCbS, https://resourcecenter.softr.app/service-details?recordId=recFmMXc3caYD3vri, https://resourcecenter.softr.app/service-details?recordId=rectAE69fnOAqyFM7",12/13/2024 9:31am,Gerrit Van Zwol,Gerrit Van Zwol,12/13/2024 9:23am,,,"<h3>101 E Hartson Ave, Spokane, WA 99202</h3><h4>Organizations</h4><ul><li><a href=https://resourcecenter.softr.app/organization-details?recordId=reck7nDD7WOB33bfI><span>Org Name</span></a></li></ul><h4>Services</h4><ul><li><a href=https://resourcecenter.softr.app/service-details?recordId=rec9K79zEB7aJmCbShttps://resourcecenter.softr.app/service-details?recordId=recFmMXc3caYD3vrihttps://resourcecenter.softr.app/service-details?recordId=rectAE69fnOAqyFM7><span>Service Name</span></a></li></ul>"
