Service Type,Quick Filter,id,Services Link,Service ids
Resource Finder,,42,"Shelter Me Spokane - The City of Spokane - 180,Food Finder - 2nd Harvest - 209","180, 209"
Food Assistance,Food,5,"Food Assistance Program (FAP) - Department of Social and Health Services (DSHS) - 52,Food for Thought - Partners INW - 129,Grocery Vouchers - Catholic Charities Eastern Washington - 175,Bite To Go Meal - Serve Spokane - 143,Senior Commodity Supplemental Food Program (CSFP) - MLK JR. Family Outreach Center - 108,Senior Lunches - American Indian Community Center - 12,Basic Food Assistance Program - GreenHouse Food Bank - 78,Supplemental Food for Senior Adults - GreenHouse Food Bank - 82","52, 129, 175, 143, 108, 12, 78, 82"
Food Distribution Center,Food,4,"AICC Food Distribution Center - American Indian Community Center - 9,Partners INW Food Bank - Partners INW - 130,The Northeast Community Food Pantry - Northwest Connect - 116,Food Distribution Center - Our Place - 125,Food Pantry - Renew Spokane - 19,Dr. Martin Luther King Jr. Food Bank - MLK JR. Family Outreach Center - 105,Caritas Food Bank - Caritas Outreach Ministries - 33,OBL Food Distribution Center - Off Broadway Lighthouse - 120,Curbside Grocery Service - Women & Children's Free Restaurant & Community Kitchen - 200,The City Gate Food Bank - The City Gate - 178,Audubon Park Food Bank - Audubon Park United Methodist Church - 15,AHBC Food Distribution Center - Airway Heights Baptist Church - 8,WCN Food Pantry - Westside Church of the Nazarene - 198,Food Bank - GreenHouse Food Bank - 80,Brown Bag Commodities Program - Catholic Charities Eastern Washington - 141,Ministry Resource Center - Spokane Dream Center - 153,Mead Food Bank - Mead Community Services - 210,Cleone's Closet - Women's Healing & Empowerment Network (WHEN) - 217,Feed Cheney - Cheney United Methodist Church - 222,Medical Lake Food Bank - Care & Share Thrift Store - 223,Food & Resource Center - Spokane Community College (SCC) - 244,Food Distribution Center - All Saints Lutheran Church - 215,Food Distribution Center - Cheney Cupboard - 216,Food Pantry - East Valley Baptist Church - 221,Breaking Bread (Food Pantry) - Family of Faith Community Church - 55,Food Bank - Southwest Spokane Community Center - 246,Food Distribution Center - Southside Christian Church - 148,Food Distribution Center - Serve Spokane - 145,Food Distribution Center - Salvation Army - 138,Food Pantry - Revive Community Services (aka Revive Ministries) - 211","9, 130, 116, 125, 19, 105, 33, 120, 200, 178, 15, 8, 198, 80, 141, 153, 210, 217, 222, 223, 244, 215, 216, 221, 55, 246, 148, 145, 138, 211"
Food Rescue,Food,7,"Garland Little Food Pantry - Garland Church - 74,Grocery Rescue Program - Revive Community Services (aka Revive Ministries) - 213,Breaking Bread (Food Rescue) - Family of Faith Community Church - 56","74, 213, 56"
Free Meals,Food,6,"Dining with Dignity - Shalom Ministries - 146,Soup Kitchen - Calvary Baptist Church - 23,The Kitchen - The City Gate - 179,Monday Night Dinner - Off Broadway Lighthouse - 119,Tuesday Morning Breakfast - Audubon Park United Methodist Church - 17,Mid-City Concerns Senior Center Meals - Meals on Wheels Spokane - 245,Soup Kitchen - Union Gospel Mission (UGM) - 191","146, 23, 179, 119, 17, 245, 191"
Basic Necessities,Wellness,10,"Our Sister's Closet - Young Women's Christian Association (YWCA) - 203,Clothing & Housewares Outlet - Our Place - 124,Diaper & Formula Assistance - Vanessa Behan - 193,Essential Items - Catholic Charities Eastern Washington - 29,Household Goods & Hygiene Products - Spokane Slavic Association (SSA) - 185,The Arc Thrift Store - Spokane Valley - The Arc of Spokane - 168,The Arc Thrift Store - North Spokane - The Arc of Spokane - 167,The Habitat Store - Habitat for Humanity - 205,Women's Hearth - Transitions (Help4Women) - 229,Clothing & Housewares Outlet - Serve Spokane - 144","203, 124, 193, 29, 185, 168, 167, 205, 229, 144"
Childcare,Wellness,11,"Reconnect2Work - Resource Center of Spokane County - 135,Early Childhood Education and Assistance Program (ECEAP) - MLK JR. Family Outreach Center - 106,Birth-to-3 Program - Spokane Hearing Oral Program of Excellence (HOPE) - 154,Toddler Group - Spokane Hearing Oral Program of Excellence (HOPE) - 156,Preschool Program - Spokane Hearing Oral Program of Excellence (HOPE) - 155,St. Anne's Children & Family Center - Catholic Charities Eastern Washington - 40,Infants Program (4 weeks - 12 months) - Young Men's Christian Association (YMCA) - 42,EduCare - Transitions (Help4Women) - 224,FREE Preschool (West Plains A&B) - Young Women's Christian Association (YWCA) - 233,FREE Preschool (Medical Lake) - Young Women's Christian Association (YWCA) - 234,FREE Preschool (Downtown 148) - Young Women's Christian Association (YWCA) - 235,FREE Preschool (Downtown 157) - Young Women's Christian Association (YWCA) - 236,Before School Camp - Northeast Youth Center (NEYC) - 284,After School Camp - Northeast Youth Center (NEYC) - 285,Winter/Spring Break Camp - Northeast Youth Center (NEYC) - 286","135, 106, 154, 156, 155, 40, 42, 224, 233, 234, 235, 236, 284, 285, 286"
Clothing Center,Wellness,9,"Clothing Outlet (North) - Teen & Kid Closet - 165,Clothing Outlet (Downtown) - Teen & Kid Closet - 164,Clothing Outlet - The City Gate - 176,Clothing Bank - GreenHouse Food Bank - 79,Clothing Outlet - Westside Church of the Nazarene - 197,Clothing & Housewares Outlet - Partners INW - 128,Clothing Outlet - Revive Community Services (aka Revive Ministries) - 214","165, 164, 176, 79, 197, 128, 214"
Educational Services,Wellness,15,"Education Support - Catholic Charities Eastern Washington - 28,Circle of Security Parenting Classes - Catholic Charities Eastern Washington - 27,Baby Care 101 - Catholic Charities Eastern Washington - 24,Music Together (Partnership with Songbird Studio) - Catholic Charities Eastern Washington - 30,Attachment Vitamins - International Rescue Committee (IRC) - 92,Financial Stress Management - International Rescue Committee (IRC) - 94,Registration Assistance - Spokane Public Schools (SPS) - 253,Early Childhood Education and Assistance Program (ECEAP) - Northeast Youth Center (NEYC) - 287","28, 27, 24, 30, 92, 94, 253, 287"
Health and Wellness,Wellness,12,"Refugee Membership Discount - Young Men's Christian Association (YMCA) - 201,COVID-19 Services - The Carl Maxey Center - 171,FailSafe for Life - Big Table - 22,Volunteer Chore Services - Catholic Charities Eastern Washington - 142,Community Living Connections - Aging & Long Term Care of Eastern Washington (ALTCEW) - 4","201, 171, 22, 142, 4"
Hygiene Assistance,Wellness,8,"A Hand Up (Hygiene Center) - Northwest Connect - 114,Hygiene Center - Caritas Outreach Ministries - 34,Free Laundry Service - Our Place - 126,Bare Necessities - Audubon Park United Methodist Church - 16,Personal Hygiene - GreenHouse Food Bank - 81,Baby Care Assistance - Catholic Charities Eastern Washington - 25,Homeless Outreach - Hygiene Care - Revive Community Services (aka Revive Ministries) - 212,Hygiene Center - Our Place - 127","114, 34, 126, 16, 81, 25, 212, 127"
