Unique Name,MergeType,Service / Program,Provider,Locations Link,loc-rids,Provider Name,Provider id,Parent Org,Parent Org Name,Parent Org id,Print Provider,OLD - Service Type,OLD - Condensed Type (MAP),Status,OLD - Tags,OLD - Quick Filter,Details,Service Times,Online Only Check,Appt Only Check,Eligibility,Lang Support,Languages,OLD - Service Cost,Cost Type,Set Cost,Sliding Scale - Low,Sliding Scale - High,Max Income Eligibility,Cost Details,Service Area,OLD - Attachments,Display Website,Website (Service),Website (Provider),Apply Online Link,Schedule Appt Link,URL-Phone,Display Phone,Phone (Service),Phone (Provider),Display Appt Only Phone,Appt Only Phone,Display Email,Email (Service),Email (Provider),Appt Only Email,Email (Web Form),Address: Line 1,Address: Line 2,Address: City,Address: State,Address: Zipcode,Address: Latitude,Address: Longitude,Display Address,Display URL-Address,Service URL-Address,Provider URL-Address,Address: Combo,Address: MAP,Address: Combo (Provider),Address: MAP (Provider),Print Contact Info,Print Lang Info,Same as Provider,Update Check (Disp),Update Check,Next Update Date,Last Updated,Last Updated By,Date Added,Created By,Short Details,AutoUpdateFIll,id,id-text,TrueCheckbox,Location ids,loc-ids-text,Multi-Loc Check,Service Type-NEW,Quick Filter-NEW,Service Type id,Service Groups,Service Group Types,Service Group ids,Tags-NEW,Tag Groups,Tag ids,Documents,Docx ids,Notes & Alerts,N&A ids,Form Submissions,Favorites Link,Favorites user ids,Events Link,Event ids,Contacts Link,Contact ids,Record_ID,Softr_Item_Page,Provider Locations,Pathways Link
Food Finder - 2nd Harvest - 209,NEW,Food Finder,2nd Harvest_83,"""1234 E Front Ave , Spokane, WA 99202""",recOJSoZ57g7VqABt,2nd Harvest,83,,,,2nd Harvest,,,Active,,,Online resource for finding food pantries near you.,Online only.,checked,,NONE,No language support,,,FREE,,,,,,,,https://foodfinder.2-harvest.org/?q=99201,https://foodfinder.2-harvest.org/?q=99201,https://2-harvest.org/,,,tel://5095346678,(509) 534-6678,,(509) 534-6678,,,info@2-harvest.org,,info@2-harvest.org,,,,,,,,,,"1234 E Front Ave, Spokane, WA 99202",https://www.google.com/maps/search/1234%20E%20Front%20Ave%20%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/1234%20E%20Front%20Ave%20%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/1234%20E%20Front%20Ave%20%2C%20Spokane%2C%20WA%2099202,,"1234 E Front Ave, Spokane, WA 99202","1234 E Front Ave, Spokane, WA 99202","1234 E Front Ave, Spokane, WA 99202","(509) 534-6678 | info@2-harvest.org | 1234 E Front Ave, Spokane, WA 99202",No language support,0,46 Days since last Update,Up to Date,6/15/2025 11:04pm,3/17/2025 4:04pm,Gerrit Van Zwol,6/20/2024,Gerrit Van Zwol,Online resource for finding food pa...,,209,209,Yes,112,112,Single,Resource Finder,,42,Anyone In Need,General,1,Food,Basic Needs,11,,,,,,,,,,,,recBV1ZuPlJCv6Hdu,https://resourcecenter.softr.app/service-details?recordId=recBV1ZuPlJCv6Hdu,"""1234 E Front Ave , Spokane, WA 99202""",
Care Coordination (Health Home) - Aging & Long Term Care of Eastern Washington (ALTCEW) - 1,NEW,Care Coordination (Health Home),Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"Health Home is a program within Aging & Long Term Care that empowers individuals to take charge of their own health care through person-centered health action planning. Care Coordinators work with participants to establish health-related goals, increase their confidence and skills to manage these goals, access health care services, and much more.","By appointment only. Call ""Community Living Connections"" program at 509-960-7281.",,checked,People on Apple Health (not offered if on a Medicare Advantage Plan) who have one chronic condition and are at risk for one or more additional chronic conditions.,,,,,,,,,,,,https://www.altcew.org/programs-services/care-coordination/,https://www.altcew.org/programs-services/care-coordination/,https://www.altcew.org/,,,tel://15099607281,15099607281,15099607281,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","15099607281 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:40am,1/7/2025 5:40pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,Health Home is a program within Agi...,,1,1,Yes,2,2,Single,Case Management,Medical,27,,,,"Case Management,In-Home Medical Care,Medical","Case Management, Medical","99, 59, 41",,,,,,,,,,,,recCYA8JUlHfJfitT,https://resourcecenter.softr.app/service-details?recordId=recCYA8JUlHfJfitT,"""110 E 4th Ave, Spokane, WA 99202""",
Care Transitions - Aging & Long Term Care of Eastern Washington (ALTCEW) - 2,NEW,Care Transitions,Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"Care Transitions occur when a patient moves from one healthcare setting to another. These transitions can often be dangerous when there are gaps in support. This free evidence-based program will help you during your hospital discharge to ensure you receive the support and quality of care needed during your recovery at home.

A Care Coordinator will work closely with you during this time to help you navigate complicated medical and social service systems, create a plan to determine necessary supports, and reduce the likelihood of hospital readmissions. Coordinators will work with existing services you may already have set up, and actively advocate for your needs!

How the Program Works:
- Client enrolls in the program (at no charge). Call 509-960-7281 to learn more.
- A Care Coordinator will make a home visit and identify client needs.
- The Care Coordinator will make referrals for community-based resources, including Medication Management.
- The clients needs will continue to be reviewed and support will be provided as needed.",By appointment only,,checked,"- 18 years of age or older
- Have a serious chronic health condition
- Recently hospitalized",,,,,,,,,,,,https://www.altcew.org/programs-services/care-transitions/,https://www.altcew.org/programs-services/care-transitions/,https://www.altcew.org/,,,tel://15099607281,15099607281,15099607281,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","15099607281 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,Care Transitions occur when a patie...,,2,2,Yes,2,2,Single,Medical Services,Medical,20,,,,"Case Management,In-Home Medical Care,Medical","Case Management, Medical","99, 59, 41",,,,,,,,,,,,reciTtqxe2ticSFNT,https://resourcecenter.softr.app/service-details?recordId=reciTtqxe2ticSFNT,"""110 E 4th Ave, Spokane, WA 99202""",
Caregiver Support - Aging & Long Term Care of Eastern Washington (ALTCEW) - 3,NEW,Caregiver Support,Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"Being an unpaid caregiver to a relative or friend can be isolating, emotionally draining, and physically demanding. The Caregiver Support Program is offered to unpaid caregivers aiding loved ones who are 18 and older. Through this program, you will gain access to free or low-cost support.

Services include:
- Support groups and counseling
- Caregiver training
- Respite care, if you need a break
- Purchasing supplies and/or medical equipment
- Other services necessary to help the unpaid caregiver",Call during regular business hours,,,"Must be acting as a caregiver, helping support a relative, or friend.",,,,,,,,,,,,https://www.altcew.org/programs-services/caregiver-support/,https://www.altcew.org/programs-services/caregiver-support/,https://www.altcew.org/,,,tel://15099607281,15099607281,15099607281,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","15099607281 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,Being an unpaid caregiver to a rela...,,3,3,Yes,2,2,Single,Interpersonal Services,Wellness,17,,,,,,,,,,,,,,,,,,recFOGaC7PksBdioz,https://resourcecenter.softr.app/service-details?recordId=recFOGaC7PksBdioz,"""110 E 4th Ave, Spokane, WA 99202""",
Community Living Connections - Aging & Long Term Care of Eastern Washington (ALTCEW) - 4,NEW,Community Living Connections,Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"Community Living Connections is a program within Aging & Long Term Care that can connect you with the right kind of help, when and where you need it.

We help older adults, adults living with disabilities, and caregivers access a wide range of public and private resources and provide the long-term care services and supports necessary for them to remain in the community for as long as possible.

Our goal is to promote well-being, independence, dignity, and choice for all individuals we serve. Please contact us at 509-960-7281 for objective, confidential information about community resources and service options to meet your individual needs.",By appointment only,,,NONE,,,,,,,,,,,,https://www.altcew.org/programs-services/information-and-assistance/,https://www.altcew.org/programs-services/information-and-assistance/,https://www.altcew.org/,,,tel://15099607281,15099607281,15099607281,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","15099607281 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,Community Living Connections is a p...,,4,4,Yes,2,2,Single,Health and Wellness,Wellness,12,"Seniors: 55 Years+,Physical Disability,Developmental Disability,Intellectual Disability,Learning Disability","Age Group, Disability","14, 39, 35, 36, 37",Case Management,Case Management,99,,,,,,,,,,,,recHcJWthVSwVgK8M,https://resourcecenter.softr.app/service-details?recordId=recHcJWthVSwVgK8M,"""110 E 4th Ave, Spokane, WA 99202""",
Family Raising Family: Kinship Caregiver - Aging & Long Term Care of Eastern Washington (ALTCEW) - 5,NEW,Family Raising Family: Kinship Caregiver,Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"What is the Kinship Caregiver Support Program?
The Kinship Caregiver Support Program helps family members who are raising a relative’s child. This program helps caregivers locate resources, navigate governmental systems, and access funding for the child. Financial help can also be provided to those who are income-eligible to meet a variety of short-term needs. For more information, please check out the links at the bottom of this page.

What is the Kinship Navigator Program?
The Kinship Navigator program serves as a one-stop shop for kinship caregivers and is especially helpful for those who are already financially stretched. The role of the Kinship Navigator is to connect kinship caregivers to community resources and information, help navigate governmental systems, provide support, avoid crisis, and establish greater stability needed to keep the children out of foster care. Almost all kinship care families qualify for some services or benefits, but many are unaware of this. Kinship Navigators will not only help you discover these services, but also explain how to apply. For more information, please check out the links at the bottom of this page.",Call during regular business hours,,,Must be a Kinship Caregiver. (a grandparent or other family member raising a relative’s child),,,,,,,,,,,,https://www.altcew.org/programs-services/family-raising-family/,https://www.altcew.org/programs-services/family-raising-family/,https://www.altcew.org/,,,tel://5094582509,(509) 458-2509,,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","(509) 458-2509 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,What is the Kinship Caregiver Suppo...,,5,5,Yes,2,2,Single,Case Management,Medical,27,,,,,,,,,,,,,,,,,,recqUSABkz07F1ST9,https://resourcecenter.softr.app/service-details?recordId=recqUSABkz07F1ST9,"""110 E 4th Ave, Spokane, WA 99202""",
Medicare Assistance - Aging & Long Term Care of Eastern Washington (ALTCEW) - 6,NEW,Medicare Assistance,Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"The Statewide Health Insurance Benefits Advisors (SHIBA) can help you understand your Medicare rights and options. Our well-trained volunteers counsel people of all ages, adults living with disabilities, and people getting ready to retire about their Medicare choices and options:
- Original Medicare
- Prescription drugs
- Low-income programs to help pay for Medicare
- Medigap (Medicare Supplement) plans
- Medicare Advantage plans
- Medicare fraud and abuse
- Long-term care options
- Issues with Medicare fraud
We answer your Medicare questions, make referrals, and help evaluate and compare health insurance policies so you can make an informed decision to find the best possible coverage that fits within your budget and meets your needs.",Call during regular business hours,,,NONE,,,,,,,,,,,,https://www.altcew.org/programs-services/medicare/,https://www.altcew.org/programs-services/medicare/,https://www.altcew.org/,,,tel://15096254801,15096254801,15096254801,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","15096254801 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,The Statewide Health Insurance Bene...,,6,6,Yes,2,2,Single,Medical Services,Medical,20,,,,Medical,Medical,41,,,,,,,,,,,,recEOHKhjiZXPaiYT,https://resourcecenter.softr.app/service-details?recordId=recEOHKhjiZXPaiYT,"""110 E 4th Ave, Spokane, WA 99202""",
Medication Managment - Aging & Long Term Care of Eastern Washington (ALTCEW) - 7,NEW,Medication Managment,Aging & Long Term Care of Eastern Washington (ALTCEW)_1,"""110 E 4th Ave, Spokane, WA 99202""",recbrQlhALe9nGorE,Aging & Long Term Care of Eastern Washington (ALTCEW),1,,,,Aging & Long Term Care of Eastern Washington (ALTCEW),,,Active,,,"This award winning Advanced Medication Management Program helps clients find solutions to address complex health conditions such as asthma, diabetes, COPD, and hypertension. Trained coordinators and pharmacists work together to create safe and effective medication management plans catered to meet each individuals needs. At this time, we are working with patients over the age of 50 with chronic health conditions and who take multiple prescriptions.

Our purpose is to ensure our clients are using medications in the most safe and effective way!

This service works in tandem with physicians and other health care team providers. Our Advanced Medication Care Coordinator (AMCC) is a specialized role designed to support our clients with targeted care coordination around medications. We help clients become knowledgeable about prescriptions, more skilled and accountable in managing their health, and reduce anxiety or uncertainness.

How our Program Works:
1. Client enrolls in the program (at no charge). Call 509-960-7281 to learn more.
2. AMCC visits with the client and identifies prescriptions and challenges.
3. Client meets with a clinical pharmacist and AMCC.
4. The pharmacist reviews the client’s health status, makes any necessary medication recommendations, and shares this with the client’s health care provider.
5. AMCC follows up with the client and pharmacist for continued consult until the client is comfortable that the medications they are taking are safe and effective.",Call during regular business hours,,,"- 50 years or older
- Multiple known chronic conditions
- Multiple prescriptions
- Needs help understanding medications
- Little to no support in medication management
- Agrees to participate in the program",,,,,,,,,,,,https://www.altcew.org/programs-services/medication-management/,https://www.altcew.org/programs-services/medication-management/,https://www.altcew.org/,,,tel://15099607281,15099607281,15099607281,(509) 458-2509,,,action@altcew.org,,action@altcew.org,,,,,,,,,,"1222 N Post St, Spokane, WA 99201",https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,https://www.google.com/maps/search/110%20E%204th%20Ave%2C%20Spokane%2C%20WA%2099202,,"1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","1222 N Post St, Spokane, WA 99201","15099607281 | action@altcew.org | 1222 N Post St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/3/2024,Gerrit Van Zwol,This award winning Advanced Medicat...,,7,7,Yes,2,2,Single,Pharmaceutical Assistance,Medical,22,,,,"Medical,Medication",Medical,"41, 51",,,,,,,,,,,,reck46JFDtFGwB70H,https://resourcecenter.softr.app/service-details?recordId=reck46JFDtFGwB70H,"""110 E 4th Ave, Spokane, WA 99202""",
AHBC Food Distribution Center - Airway Heights Baptist Church - 8,NEW,AHBC Food Distribution Center,Airway Heights Baptist Church_2,""" 12322 W Sunset Hwy, Airway Heights, WA 99001""",recIW6TsGU5JevHtR,Airway Heights Baptist Church,2,,,,Airway Heights Baptist Church,,,Active,,,"In support of our local community, our affiliation with 2nd Harvest Inland Northwest enables us to minister to those in need of supplemental food products for their families and afford all the opportunity to hear the Gospel plan of salvation. Our Food Distribution occurs twice monthly, on the 1st and 3rd Saturdays of the month from 10am-12pm in the North Parking Lot. On occasion, distribution days may vary. Please see our Church calendar for current dates. We do not deliver boxes, this is a line-up operation served by our faithful volunteers.

If in need of food in between those Saturdays, call their office Monday thru Thursday from 9am-4pm.
","1st and 3rd Saturdays of the month, 10 AM - 12 PM",,,"Must bring picture ID, and proof of current residence within these zipcodes: 99001, 99011, 99013, 99022, 99029, 99224.",,,,,,,,,,"99001, 99011, 99013, 99022, 99029, 99224",,https://www.ahbc.us/2nd-harvest/,https://www.ahbc.us/2nd-harvest/,https://www.ahbc.us,,,tel://5092442474,(509) 244-2474,(509) 244-2474,(509) 244-2474,,,,,,,,,,,,,,,"12322 W Sunset Hwy, Airway Heights, WA 99001",https://www.google.com/maps/search/%2012322%20W%20Sunset%20Hwy%2C%20Airway%20Heights%2C%20WA%2099001,https://www.google.com/maps/search/%2012322%20W%20Sunset%20Hwy%2C%20Airway%20Heights%2C%20WA%2099001,https://www.google.com/maps/search/%2012322%20W%20Sunset%20Hwy%2C%20Airway%20Heights%2C%20WA%2099001,,"12322 W Sunset Hwy, Airway Heights, WA 99001","12322 W Sunset Hwy, Airway Heights, WA 99001","12322 W Sunset Hwy, Airway Heights, WA 99001","(509) 244-2474 | 12322 W Sunset Hwy, Airway Heights, WA 99001",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,4/15/2024,Gerrit Van Zwol,"In support of our local community,...",,8,8,Yes,3,3,Single,Food Distribution Center,Food,4,Anyone In Need,General,1,"Free,Food","Financial, Basic Needs","72, 11",,,,,,,,,,,,recPWD34NvEZCSKWY,https://resourcecenter.softr.app/service-details?recordId=recPWD34NvEZCSKWY,""" 12322 W Sunset Hwy, Airway Heights, WA 99001""",
Food Distribution Center - All Saints Lutheran Church - 215,NEW,Food Distribution Center,All Saints Lutheran Church_86,"""204 4th St , Cheney, WA 99004""",recBYJkHeZfNyKpHD,All Saints Lutheran Church,86,,,,All Saints Lutheran Church,,,Active,,,Food pantry run by the church.,"Wednesdays, 10 AM - 12 PM",,,Unlisted,,,,FREE,,,,,,,,https://allsaintsgatherweb.wixsite.com/allsaintsgather,,https://allsaintsgatherweb.wixsite.com/allsaintsgather,,,tel://5098384409,(509) 838-4409,,(509) 838-4409,,,allsaintsgather@gmail.com,,allsaintsgather@gmail.com,,,,,,,,,,"314 S Spruce St, Spokane, WA 99201",https://www.google.com/maps/search/204%204th%20St%20%2C%20Cheney%2C%20WA%2099004,https://www.google.com/maps/search/204%204th%20St%20%2C%20Cheney%2C%20WA%2099004,https://www.google.com/maps/search/204%204th%20St%20%2C%20Cheney%2C%20WA%2099004,,"314 S Spruce St, Spokane, WA 99201","314 S Spruce St, Spokane, WA 99201","314 S Spruce St, Spokane, WA 99201","(509) 838-4409 | allsaintsgather@gmail.com | 314 S Spruce St, Spokane, WA 99201",No listed language support,0,Please Update,Needs Update,4/8/2025 1:41am,1/7/2025 5:41pm,Gerrit Van Zwol,6/21/2024,Gerrit Van Zwol,Food pantry run by the church....,,215,215,Yes,4,4,Single,Food Distribution Center,Food,4,Anyone In Need,General,1,"Free,Food,Groceries","Financial, Basic Needs","72, 11, 13",,,,,,,,,,,,recBNsOaSYGDSfuIk,https://resourcecenter.softr.app/service-details?recordId=recBNsOaSYGDSfuIk,"""204 4th St , Cheney, WA 99004""",
