Tag,Tag Group,id,Services Link,Service Names,Service ids
Activities,Community & Recreation,4,"Senior Programs - MLK JR. Family Outreach Center - 109,KidZone (Community Event) - Northwest Connect - 115,Youth Program - Southwest Spokane Community Center - 247,Before School Camp - Northeast Youth Center (NEYC) - 284,After School Camp - Northeast Youth Center (NEYC) - 285,Winter/Spring Break Camp - Northeast Youth Center (NEYC) - 286,Early Childhood Education and Assistance Program (ECEAP) - Northeast Youth Center (NEYC) - 287,""Stay, Play & Learn - Vanessa Behan - 195""","Senior Programs, KidZone (Community Event), Youth Program, Before School Camp, After School Camp, Winter/Spring Break Camp, Early Childhood Education and Assistance Program (ECEAP), Stay, Play & Learn","109, 115, 247, 284, 285, 286, 287, 195"
Community,Community & Recreation,8,"Senior Programs - MLK JR. Family Outreach Center - 109,Tuesday Morning Breakfast - Audubon Park United Methodist Church - 17,FailSafe for Life - Big Table - 22","Senior Programs, Tuesday Morning Breakfast, FailSafe for Life","109, 17, 22"
Community Gathering,Community & Recreation,10,,,
Family Events,Community & Recreation,5,,,
Group Function,Community & Recreation,7,,,
Small Group,Community & Recreation,9,EduCare - Transitions (Help4Women) - 224,EduCare,224
Summer Camp,Community & Recreation,6,"Camp Gifford - Salvation Army - 240,Youth Program - Southwest Spokane Community Center - 247","Camp Gifford, Youth Program","240, 247"
Car Seats,Basic Needs,20,"Car Seats - Our Kids: Our Business (OK:OB) - 121,Car Seats / Car Seat Fitting - SafeKids Coalition - 136","Car Seats, Car Seats / Car Seat Fitting","121, 136"
Cleaning Supplies,Basic Needs,16,"A Hand Up (Hygiene Center) - Northwest Connect - 114,Bare Necessities - Audubon Park United Methodist Church - 16,Hygiene Center - Caritas Outreach Ministries - 34,Personal Hygiene - GreenHouse Food Bank - 81","A Hand Up (Hygiene Center), Bare Necessities, Hygiene Center, Personal Hygiene","114, 16, 34, 81"
Clothing,Basic Needs,17,"Clothing Outlet - The City Gate - 176,Clothing & Housewares Outlet - Our Place - 124,Clothing Outlet (Downtown) - Teen & Kid Closet - 164,Clothing Outlet (North) - Teen & Kid Closet - 165,Essential Items - Catholic Charities Eastern Washington - 29,Clothing Bank - GreenHouse Food Bank - 79,Clothing & Housewares Outlet - Serve Spokane - 144","Clothing Outlet, Clothing & Housewares Outlet, Clothing Outlet (Downtown), Clothing Outlet (North), Essential Items, Clothing Bank, Clothing & Housewares Outlet","176, 124, 164, 165, 29, 79, 144"
Feminine Products,Basic Needs,15,"Clothing Outlet - The City Gate - 176,Hygiene Center - Caritas Outreach Ministries - 34,Personal Hygiene - GreenHouse Food Bank - 81,Hygiene Center - Our Place - 127,Food & Resource Center - Spokane Community College (SCC) - 244","Clothing Outlet, Hygiene Center, Personal Hygiene, Hygiene Center, Food & Resource Center","176, 34, 81, 127, 244"
